Date,N225.Close
2/16/2011,10808.29004
2/17/2011,10836.63965
2/18/2011,10842.79981
2/21/2011,10857.53027
2/22/2011,10664.7002
2/23/2011,10579.09961
2/24/2011,10452.70996
2/25/2011,10526.75977
2/28/2011,10624.08984
3/1/2011,10754.03027
3/2/2011,10492.37988
3/3/2011,10586.01953
3/4/2011,10693.66016
3/7/2011,10505.01953
3/8/2011,10525.19043
3/9/2011,10589.5
3/10/2011,10434.37988
3/11/2011,10254.42969
3/14/2011,9620.490234
3/15/2011,8605.150391
3/16/2011,9093.719727
3/17/2011,8962.669922
3/18/2011,9206.75
3/22/2011,9608.320313
3/23/2011,9449.469727
3/24/2011,9435.009766
3/25/2011,9536.129883
3/28/2011,9478.530273
3/29/2011,9459.080078
3/30/2011,9708.790039
3/31/2011,9755.099609
4/1/2011,9708.389648
4/4/2011,9718.889648
4/5/2011,9615.549805
4/6/2011,9584.370117
4/7/2011,9590.929688
4/8/2011,9768.080078
4/11/2011,9719.700195
4/12/2011,9555.259766
4/13/2011,9641.179688
4/14/2011,9653.919922
4/15/2011,9591.519531
4/18/2011,9556.650391
4/19/2011,9441.030273
4/20/2011,9606.820313
4/21/2011,9685.769531
4/22/2011,9682.209961
4/25/2011,9671.959961
4/26/2011,9558.69043
4/27/2011,9691.839844
4/28/2011,9849.740234
5/2/2011,10004.2002
5/6/2011,9859.200195
5/9/2011,9794.379883
5/10/2011,9818.759766
5/11/2011,9864.259766
5/12/2011,9716.650391
5/13/2011,9648.769531
5/16/2011,9558.299805
5/17/2011,9567.019531
5/18/2011,9662.080078
5/19/2011,9620.820313
5/20/2011,9607.080078
5/23/2011,9460.629883
5/24/2011,9477.169922
5/25/2011,9422.879883
5/26/2011,9562.049805
5/27/2011,9521.94043
5/30/2011,9504.969727
5/31/2011,9693.730469
6/1/2011,9719.610352
6/2/2011,9555.040039
6/3/2011,9492.209961
6/6/2011,9380.349609
6/7/2011,9442.950195
6/8/2011,9449.459961
6/9/2011,9467.150391
6/10/2011,9514.44043
6/13/2011,9448.209961
6/14/2011,9547.790039
6/15/2011,9574.320313
6/16/2011,9411.280273
6/17/2011,9351.400391
6/20/2011,9354.320313
6/21/2011,9459.660156
6/22/2011,9629.429688
6/23/2011,9596.740234
6/24/2011,9678.709961
6/27/2011,9578.30957
6/28/2011,9648.980469
6/29/2011,9797.259766
6/30/2011,9816.089844
7/1/2011,9868.070313
7/4/2011,9965.089844
7/5/2011,9972.459961
7/6/2011,10082.48047
7/7/2011,10071.13965
7/8/2011,10137.73047
7/11/2011,10069.53027
7/12/2011,9925.919922
7/13/2011,9963.139648
7/14/2011,9936.120117
7/15/2011,9974.469727
7/19/2011,9889.719727
7/20/2011,10005.90039
7/21/2011,10010.38965
7/22/2011,10132.11035
7/25/2011,10050.00977
7/26/2011,10097.71973
7/27/2011,10047.19043
7/28/2011,9901.349609
7/29/2011,9833.030273
8/1/2011,9965.009766
8/2/2011,9844.589844
8/3/2011,9637.139648
8/4/2011,9659.179688
8/5/2011,9299.879883
8/8/2011,9097.55957
8/9/2011,8944.480469
8/10/2011,9038.740234
8/11/2011,8981.94043
8/12/2011,8963.719727
8/15/2011,9086.410156
8/16/2011,9107.429688
8/17/2011,9057.259766
8/18/2011,8943.759766
8/19/2011,8719.240234
8/22/2011,8628.129883
8/23/2011,8733.009766
8/24/2011,8639.610352
8/25/2011,8772.360352
8/26/2011,8797.780273
8/29/2011,8851.349609
8/30/2011,8953.900391
8/31/2011,8955.200195
9/1/2011,9060.799805
9/2/2011,8950.740234
9/5/2011,8784.459961
9/6/2011,8590.570313
9/7/2011,8763.410156
9/8/2011,8793.120117
9/9/2011,8737.660156
9/12/2011,8535.669922
9/13/2011,8616.549805
9/14/2011,8518.570313
9/15/2011,8668.860352
9/16/2011,8864.160156
9/20/2011,8721.240234
9/21/2011,8741.160156
9/22/2011,8560.259766
9/26/2011,8374.129883
9/27/2011,8609.950195
9/28/2011,8615.650391
9/29/2011,8701.230469
9/30/2011,8700.290039
10/3/2011,8545.480469
10/4/2011,8456.120117
10/5/2011,8382.980469
10/6/2011,8522.019531
10/7/2011,8605.620117
10/11/2011,8773.679688
10/12/2011,8738.900391
10/13/2011,8823.25
10/14/2011,8747.959961
10/17/2011,8879.599609
10/18/2011,8741.910156
10/19/2011,8772.540039
10/20/2011,8682.150391
10/21/2011,8678.889648
10/24/2011,8843.980469
10/25/2011,8762.30957
10/26/2011,8748.469727
10/27/2011,8926.540039
10/28/2011,9050.469727
10/31/2011,8988.389648
11/1/2011,8835.519531
11/2/2011,8640.419922
11/4/2011,8801.400391
11/7/2011,8767.089844
11/8/2011,8655.509766
11/9/2011,8755.44043
